;;EPA SWMM Time Series Data		
;;
4/1/2006	0:00	6.116948525
4/2/2006	0:00	6.116948525
4/3/2006	0:00	6.116948525
4/4/2006	0:00	6.116948525
4/5/2006	0:00	6.116948525
4/6/2006	0:00	6.116948525
4/7/2006	0:00	6.116948525
4/8/2006	0:00	6.116948525
4/9/2006	0:00	6.116948525
4/10/2006	0:00	6.116948525
4/11/2006	0:00	6.116948525
4/12/2006	0:00	6.116948525
4/13/2006	0:00	6.116948525
4/14/2006	0:00	6.116948525
4/15/2006	0:00	6.116948525
4/16/2006	0:00	6.116948525
4/17/2006	0:00	6.116948525
4/18/2006	0:00	6.116948525
4/19/2006	0:00	6.116948525
4/20/2006	0:00	6.116948525
4/21/2006	0:00	6.116948525
4/22/2006	0:00	6.116948525
4/23/2006	0:00	6.116948525
4/24/2006	0:00	6.116948525
4/25/2006	0:00	6.116948525
4/26/2006	0:00	6.116948525
4/27/2006	0:00	6.116948525
4/28/2006	0:00	6.116948525
4/29/2006	0:00	6.116948525
4/30/2006	0:00	6.116948525
5/1/2006	0:00	6.116948525
5/2/2006	0:00	6.116948525
5/3/2006	0:00	6.116948525
5/4/2006	0:00	6.116948525
5/5/2006	0:00	6.116948525
5/6/2006	0:00	6.116948525
5/7/2006	0:00	6.116948525
5/8/2006	0:00	6.116948525
5/9/2006	0:00	6.116948525
5/10/2006	0:00	6.116948525
5/11/2006	0:00	6.116948525
5/12/2006	0:00	6.116948525
5/13/2006	0:00	6.116948525
5/14/2006	0:00	6.116948525
5/15/2006	0:00	6.116948525
5/16/2006	0:00	6.116948525
5/17/2006	0:00	6.116948525
5/18/2006	0:00	6.116948525
5/19/2006	0:00	6.116948525
5/20/2006	0:00	6.116948525
5/21/2006	0:00	6.116948525
5/22/2006	0:00	6.116948525
5/23/2006	0:00	6.116948525
5/24/2006	0:00	6.116948525
5/25/2006	0:00	6.116948525
5/26/2006	0:00	6.116948525
5/27/2006	0:00	6.116948525
5/28/2006	0:00	6.116948525
5/29/2006	0:00	6.116948525
5/30/2006	0:00	6.116948525
5/31/2006	0:00	6.116948525
6/1/2006	0:00	6.116948525
6/2/2006	0:00	6.116948525
6/3/2006	0:00	6.116948525
6/4/2006	0:00	6.116948525
6/5/2006	0:00	6.116948525
6/6/2006	0:00	6.116948525
6/7/2006	0:00	6.116948525
6/8/2006	0:00	6.116948525
6/9/2006	0:00	6.116948525
6/10/2006	0:00	6.116948525
6/11/2006	0:00	6.116948525
6/12/2006	0:00	6.116948525
6/13/2006	0:00	6.116948525
6/14/2006	0:00	6.116948525
6/15/2006	0:00	6.116948525
6/16/2006	0:00	6.116948525
6/17/2006	0:00	6.116948525
6/18/2006	0:00	6.116948525
6/19/2006	0:00	6.116948525
6/20/2006	0:00	6.116948525
6/21/2006	0:00	6.116948525
6/22/2006	0:00	6.116948525
6/23/2006	0:00	6.116948525
6/24/2006	0:00	6.116948525
6/25/2006	0:00	6.116948525
6/26/2006	0:00	6.116948525
6/27/2006	0:00	6.116948525
6/28/2006	0:00	6.116948525
6/29/2006	0:00	6.116948525
6/30/2006	0:00	6.116948525
7/1/2006	0:00	6.116948525
7/2/2006	0:00	6.116948525
7/3/2006	0:00	6.116948525
7/4/2006	0:00	6.116948525
7/5/2006	0:00	6.116948525
7/6/2006	0:00	6.116948525
7/7/2006	0:00	6.116948525
7/8/2006	0:00	6.116948525
7/9/2006	0:00	6.116948525
7/10/2006	0:00	6.116948525
7/11/2006	0:00	6.116948525
7/12/2006	0:00	6.116948525
7/13/2006	0:00	6.116948525
7/14/2006	0:00	6.116948525
7/15/2006	0:00	6.116948525
7/16/2006	0:00	6.116948525
7/17/2006	0:00	6.116948525
7/18/2006	0:00	6.116948525
7/19/2006	0:00	6.116948525
7/20/2006	0:00	6.116948525
7/21/2006	0:00	6.116948525
7/22/2006	0:00	6.116948525
7/23/2006	0:00	6.116948525
7/24/2006	0:00	6.116948525
7/25/2006	0:00	6.116948525
7/26/2006	0:00	6.116948525
7/27/2006	0:00	6.116948525
7/28/2006	0:00	6.116948525
7/29/2006	0:00	6.116948525
7/30/2006	0:00	6.116948525
7/31/2006	0:00	6.116948525
8/1/2006	0:00	6.116948525
8/2/2006	0:00	6.116948525
8/3/2006	0:00	6.116948525
8/4/2006	0:00	6.116948525
8/5/2006	0:00	6.116948525
8/6/2006	0:00	6.116948525
8/7/2006	0:00	6.116948525
8/8/2006	0:00	6.116948525
8/9/2006	0:00	6.116948525
8/10/2006	0:00	6.116948525
8/11/2006	0:00	6.116948525
8/12/2006	0:00	6.116948525
8/13/2006	0:00	6.116948525
8/14/2006	0:00	6.116948525
8/15/2006	0:00	6.116948525
8/16/2006	0:00	6.116948525
8/17/2006	0:00	6.116948525
8/18/2006	0:00	6.116948525
8/19/2006	0:00	6.116948525
8/20/2006	0:00	6.116948525
8/21/2006	0:00	6.116948525
8/22/2006	0:00	6.116948525
8/23/2006	0:00	6.116948525
8/24/2006	0:00	6.116948525
8/25/2006	0:00	6.116948525
8/26/2006	0:00	6.116948525
8/27/2006	0:00	6.116948525
8/28/2006	0:00	6.116948525
8/29/2006	0:00	6.116948525
8/30/2006	0:00	6.116948525
8/31/2006	0:00	6.116948525
9/1/2006	0:00	6.116948525
9/2/2006	0:00	6.116948525
9/3/2006	0:00	6.116948525
9/4/2006	0:00	6.116948525
9/5/2006	0:00	6.116948525
9/6/2006	0:00	6.116948525
9/7/2006	0:00	6.116948525
9/8/2006	0:00	6.116948525
9/9/2006	0:00	6.116948525
9/10/2006	0:00	6.116948525
9/11/2006	0:00	6.116948525
9/12/2006	0:00	6.116948525
9/13/2006	0:00	6.116948525
9/14/2006	0:00	6.116948525
9/15/2006	0:00	6.116948525
9/16/2006	0:00	6.116948525
9/17/2006	0:00	6.116948525
9/18/2006	0:00	6.116948525
9/19/2006	0:00	6.116948525
9/20/2006	0:00	6.116948525
9/21/2006	0:00	6.116948525
9/22/2006	0:00	6.116948525
9/23/2006	0:00	6.116948525
9/24/2006	0:00	6.116948525
9/25/2006	0:00	6.116948525
9/26/2006	0:00	6.116948525
9/27/2006	0:00	6.116948525
9/28/2006	0:00	6.116948525
9/29/2006	0:00	6.116948525
9/30/2006	0:00	6.116948525
10/1/2006	0:00	6.116948525
10/2/2006	0:00	6.116948525
10/3/2006	0:00	6.116948525
10/4/2006	0:00	6.116948525
10/5/2006	0:00	6.116948525
10/6/2006	0:00	6.116948525
10/7/2006	0:00	6.116948525
10/8/2006	0:00	6.116948525
10/9/2006	0:00	6.116948525
10/10/2006	0:00	6.116948525
10/11/2006	0:00	6.116948525
10/12/2006	0:00	6.116948525
10/13/2006	0:00	6.116948525
10/14/2006	0:00	6.116948525
10/15/2006	0:00	6.116948525
10/16/2006	0:00	6.116948525
10/17/2006	0:00	6.116948525
10/18/2006	0:00	6.116948525
10/19/2006	0:00	6.116948525
10/20/2006	0:00	6.116948525
10/21/2006	0:00	6.116948525
10/22/2006	0:00	6.116948525
10/23/2006	0:00	6.116948525
10/24/2006	0:00	6.116948525
10/25/2006	0:00	6.116948525
10/26/2006	0:00	6.116948525
10/27/2006	0:00	6.116948525
10/28/2006	0:00	6.116948525
10/29/2006	0:00	6.116948525
10/30/2006	0:00	6.116948525
10/31/2006	0:00	6.116948525
11/1/2006	0:00	6.116948525
11/2/2006	0:00	6.116948525
11/3/2006	0:00	6.116948525
11/4/2006	0:00	6.116948525
11/5/2006	0:00	6.116948525
11/6/2006	0:00	6.116948525
11/7/2006	0:00	6.116948525
11/8/2006	0:00	6.116948525
11/9/2006	0:00	6.116948525
11/10/2006	0:00	6.116948525
11/11/2006	0:00	6.116948525
11/12/2006	0:00	6.116948525
11/13/2006	0:00	6.116948525
11/14/2006	0:00	6.116948525
11/15/2006	0:00	6.116948525
11/16/2006	0:00	6.116948525
11/17/2006	0:00	6.116948525
11/18/2006	0:00	6.116948525
11/19/2006	0:00	6.116948525
11/20/2006	0:00	6.116948525
11/21/2006	0:00	6.116948525
11/22/2006	0:00	6.116948525
11/23/2006	0:00	6.116948525
11/24/2006	0:00	6.116948525
11/25/2006	0:00	6.116948525
11/26/2006	0:00	6.116948525
11/27/2006	0:00	6.116948525
11/28/2006	0:00	6.116948525
11/29/2006	0:00	6.116948525
11/30/2006	0:00	6.116948525
12/1/2006	0:00	6.116948525
12/2/2006	0:00	6.116948525
12/3/2006	0:00	6.116948525
12/4/2006	0:00	6.116948525
12/5/2006	0:00	6.116948525
12/6/2006	0:00	6.116948525
12/7/2006	0:00	6.116948525
12/8/2006	0:00	6.116948525
12/9/2006	0:00	6.116948525
12/10/2006	0:00	6.116948525
12/11/2006	0:00	6.116948525
12/12/2006	0:00	6.116948525
12/13/2006	0:00	6.116948525
12/14/2006	0:00	6.116948525
12/15/2006	0:00	6.116948525
12/16/2006	0:00	6.116948525
12/17/2006	0:00	6.116948525
12/18/2006	0:00	6.116948525
12/19/2006	0:00	6.116948525
12/20/2006	0:00	6.116948525
12/21/2006	0:00	6.116948525
12/22/2006	0:00	6.116948525
12/23/2006	0:00	6.116948525
12/24/2006	0:00	6.116948525
12/25/2006	0:00	6.116948525
12/26/2006	0:00	6.116948525
12/27/2006	0:00	6.116948525
12/28/2006	0:00	6.116948525
12/29/2006	0:00	6.116948525
12/30/2006	0:00	6.116948525
12/31/2006	0:00	6.116948525
1/1/2007	0:00	6.116948525
1/2/2007	0:00	6.116948525
1/3/2007	0:00	6.116948525
1/4/2007	0:00	6.116948525
1/5/2007	0:00	6.116948525
1/6/2007	0:00	6.116948525
1/7/2007	0:00	6.116948525
1/8/2007	0:00	6.116948525
1/9/2007	0:00	6.116948525
1/10/2007	0:00	6.116948525
1/11/2007	0:00	6.116948525
1/12/2007	0:00	6.116948525
1/13/2007	0:00	6.116948525
1/14/2007	0:00	6.116948525
1/15/2007	0:00	6.116948525
1/16/2007	0:00	6.116948525
1/17/2007	0:00	6.116948525
1/18/2007	0:00	6.116948525
1/19/2007	0:00	6.116948525
1/20/2007	0:00	6.116948525
1/21/2007	0:00	6.116948525
1/22/2007	0:00	6.116948525
1/23/2007	0:00	6.116948525
1/24/2007	0:00	6.116948525
1/25/2007	0:00	6.116948525
1/26/2007	0:00	6.116948525
1/27/2007	0:00	6.116948525
1/28/2007	0:00	6.116948525
1/29/2007	0:00	6.116948525
1/30/2007	0:00	6.116948525
1/31/2007	0:00	6.116948525
2/1/2007	0:00	6.116948525
2/2/2007	0:00	6.116948525
2/3/2007	0:00	6.116948525
2/4/2007	0:00	6.116948525
2/5/2007	0:00	6.116948525
2/6/2007	0:00	6.116948525
2/7/2007	0:00	6.116948525
2/8/2007	0:00	6.116948525
2/9/2007	0:00	6.116948525
2/10/2007	0:00	6.116948525
2/11/2007	0:00	6.116948525
2/12/2007	0:00	6.116948525
2/13/2007	0:00	6.116948525
2/14/2007	0:00	6.116948525
2/15/2007	0:00	6.116948525
2/16/2007	0:00	6.116948525
2/17/2007	0:00	6.116948525
2/18/2007	0:00	6.116948525
2/19/2007	0:00	6.116948525
2/20/2007	0:00	6.116948525
2/21/2007	0:00	6.116948525
2/22/2007	0:00	6.116948525
2/23/2007	0:00	6.116948525
2/24/2007	0:00	6.116948525
2/25/2007	0:00	6.116948525
2/26/2007	0:00	6.116948525
2/27/2007	0:00	6.116948525
2/28/2007	0:00	6.116948525
3/1/2007	0:00	6.116948525
3/2/2007	0:00	6.116948525
3/3/2007	0:00	6.116948525
3/4/2007	0:00	6.116948525
3/5/2007	0:00	6.116948525
3/6/2007	0:00	6.116948525
3/7/2007	0:00	6.116948525
3/8/2007	0:00	6.116948525
3/9/2007	0:00	6.116948525
3/10/2007	0:00	6.116948525
3/11/2007	0:00	6.116948525
3/12/2007	0:00	6.116948525
3/13/2007	0:00	6.116948525
3/14/2007	0:00	6.116948525
3/15/2007	0:00	6.116948525
3/16/2007	0:00	6.116948525
3/17/2007	0:00	6.116948525
3/18/2007	0:00	6.116948525
3/19/2007	0:00	6.116948525
3/20/2007	0:00	6.116948525
3/21/2007	0:00	6.116948525
3/22/2007	0:00	6.116948525
3/23/2007	0:00	6.116948525
3/24/2007	0:00	6.116948525
3/25/2007	0:00	6.116948525
3/26/2007	0:00	6.116948525
3/27/2007	0:00	6.116948525
3/28/2007	0:00	6.116948525
3/29/2007	0:00	6.116948525
3/30/2007	0:00	6.116948525
3/31/2007	0:00	6.116948525
4/1/2007	0:00	6.116948525
4/2/2007	0:00	6.116948525
4/3/2007	0:00	6.116948525
4/4/2007	0:00	6.116948525
4/5/2007	0:00	6.116948525
4/6/2007	0:00	6.116948525
4/7/2007	0:00	6.116948525
4/8/2007	0:00	6.116948525
4/9/2007	0:00	6.116948525
4/10/2007	0:00	6.116948525
4/11/2007	0:00	6.116948525
4/12/2007	0:00	6.116948525
4/13/2007	0:00	6.116948525
4/14/2007	0:00	6.116948525
4/15/2007	0:00	6.116948525
4/16/2007	0:00	6.116948525
4/17/2007	0:00	6.116948525
4/18/2007	0:00	6.116948525
4/19/2007	0:00	6.116948525
4/20/2007	0:00	6.116948525
4/21/2007	0:00	6.116948525
4/22/2007	0:00	6.116948525
4/23/2007	0:00	6.116948525
4/24/2007	0:00	6.116948525
4/25/2007	0:00	6.116948525
4/26/2007	0:00	6.116948525
4/27/2007	0:00	6.116948525
4/28/2007	0:00	6.116948525
4/29/2007	0:00	6.116948525
4/30/2007	0:00	6.116948525
5/1/2007	0:00	6.116948525
5/2/2007	0:00	6.116948525
5/3/2007	0:00	6.116948525
5/4/2007	0:00	6.116948525
5/5/2007	0:00	6.116948525
5/6/2007	0:00	6.116948525
5/7/2007	0:00	6.116948525
5/8/2007	0:00	6.116948525
5/9/2007	0:00	6.116948525
5/10/2007	0:00	6.116948525
5/11/2007	0:00	6.116948525
5/12/2007	0:00	6.116948525
5/13/2007	0:00	6.116948525
5/14/2007	0:00	6.116948525
5/15/2007	0:00	6.116948525
5/16/2007	0:00	6.116948525
5/17/2007	0:00	6.116948525
5/18/2007	0:00	6.116948525
5/19/2007	0:00	6.116948525
5/20/2007	0:00	6.116948525
5/21/2007	0:00	6.116948525
5/22/2007	0:00	6.116948525
5/23/2007	0:00	6.116948525
5/24/2007	0:00	6.116948525
5/25/2007	0:00	6.116948525
5/26/2007	0:00	6.116948525
5/27/2007	0:00	6.116948525
5/28/2007	0:00	6.116948525
5/29/2007	0:00	6.116948525
5/30/2007	0:00	6.116948525
5/31/2007	0:00	6.116948525
6/1/2007	0:00	6.116948525
6/2/2007	0:00	6.116948525
6/3/2007	0:00	6.116948525
6/4/2007	0:00	6.116948525
6/5/2007	0:00	6.116948525
6/6/2007	0:00	6.116948525
6/7/2007	0:00	6.116948525
6/8/2007	0:00	6.116948525
6/9/2007	0:00	6.116948525
6/10/2007	0:00	6.116948525
6/11/2007	0:00	6.116948525
6/12/2007	0:00	6.116948525
6/13/2007	0:00	6.116948525
6/14/2007	0:00	6.116948525
6/15/2007	0:00	6.116948525
6/16/2007	0:00	6.116948525
6/17/2007	0:00	6.116948525
6/18/2007	0:00	6.116948525
6/19/2007	0:00	6.116948525
6/20/2007	0:00	6.116948525
6/21/2007	0:00	6.116948525
6/22/2007	0:00	6.116948525
6/23/2007	0:00	6.116948525
6/24/2007	0:00	6.116948525
6/25/2007	0:00	6.116948525
6/26/2007	0:00	6.116948525
6/27/2007	0:00	6.116948525
6/28/2007	0:00	6.116948525
6/29/2007	0:00	6.116948525
6/30/2007	0:00	6.116948525
7/1/2007	0:00	6.116948525
7/2/2007	0:00	6.116948525
7/3/2007	0:00	6.116948525
7/4/2007	0:00	6.116948525
7/5/2007	0:00	6.116948525
7/6/2007	0:00	6.116948525
7/7/2007	0:00	6.116948525
7/8/2007	0:00	6.116948525
7/9/2007	0:00	6.116948525
7/10/2007	0:00	6.116948525
7/11/2007	0:00	6.116948525
7/12/2007	0:00	6.116948525
7/13/2007	0:00	6.116948525
7/14/2007	0:00	6.116948525
7/15/2007	0:00	6.116948525
7/16/2007	0:00	6.116948525
7/17/2007	0:00	6.116948525
7/18/2007	0:00	6.116948525
7/19/2007	0:00	6.116948525
7/20/2007	0:00	6.116948525
7/21/2007	0:00	6.116948525
7/22/2007	0:00	6.116948525
7/23/2007	0:00	6.116948525
7/24/2007	0:00	6.116948525
7/25/2007	0:00	6.116948525
7/26/2007	0:00	6.116948525
7/27/2007	0:00	6.116948525
7/28/2007	0:00	6.116948525
7/29/2007	0:00	6.116948525
7/30/2007	0:00	6.116948525
7/31/2007	0:00	6.116948525
8/1/2007	0:00	6.116948525
8/2/2007	0:00	6.116948525
8/3/2007	0:00	6.116948525
8/4/2007	0:00	6.116948525
8/5/2007	0:00	6.116948525
8/6/2007	0:00	6.116948525
8/7/2007	0:00	6.116948525
8/8/2007	0:00	6.116948525
8/9/2007	0:00	6.116948525
8/10/2007	0:00	6.116948525
8/11/2007	0:00	6.116948525
8/12/2007	0:00	6.116948525
8/13/2007	0:00	6.116948525
8/14/2007	0:00	6.116948525
8/15/2007	0:00	6.116948525
8/16/2007	0:00	6.116948525
8/17/2007	0:00	6.116948525
8/18/2007	0:00	6.116948525
8/19/2007	0:00	6.116948525
8/20/2007	0:00	6.116948525
8/21/2007	0:00	6.116948525
8/22/2007	0:00	6.116948525
8/23/2007	0:00	6.116948525
8/24/2007	0:00	6.116948525
8/25/2007	0:00	6.116948525
8/26/2007	0:00	6.116948525
8/27/2007	0:00	6.116948525
8/28/2007	0:00	6.116948525
8/29/2007	0:00	6.116948525
8/30/2007	0:00	6.116948525
8/31/2007	0:00	6.116948525
9/1/2007	0:00	6.116948525
9/2/2007	0:00	6.116948525
9/3/2007	0:00	6.116948525
9/4/2007	0:00	6.116948525
9/5/2007	0:00	6.116948525
9/6/2007	0:00	6.116948525
9/7/2007	0:00	6.116948525
9/8/2007	0:00	6.116948525
9/9/2007	0:00	6.116948525
9/10/2007	0:00	6.116948525
9/11/2007	0:00	6.116948525
9/12/2007	0:00	6.116948525
9/13/2007	0:00	6.116948525
9/14/2007	0:00	6.116948525
9/15/2007	0:00	6.116948525
9/16/2007	0:00	6.116948525
9/17/2007	0:00	6.116948525
9/18/2007	0:00	6.116948525
9/19/2007	0:00	6.116948525
9/20/2007	0:00	6.116948525
9/21/2007	0:00	6.116948525
9/22/2007	0:00	6.116948525
9/23/2007	0:00	6.116948525
9/24/2007	0:00	6.116948525
9/25/2007	0:00	6.116948525
9/26/2007	0:00	6.116948525
9/27/2007	0:00	6.116948525
9/28/2007	0:00	6.116948525
9/29/2007	0:00	6.116948525
9/30/2007	0:00	6.116948525
10/1/2007	0:00	6.116948525
10/2/2007	0:00	6.116948525
10/3/2007	0:00	6.116948525
10/4/2007	0:00	6.116948525
10/5/2007	0:00	6.116948525
10/6/2007	0:00	6.116948525
10/7/2007	0:00	6.116948525
10/8/2007	0:00	6.116948525
10/9/2007	0:00	6.116948525
10/10/2007	0:00	6.116948525
10/11/2007	0:00	6.116948525
10/12/2007	0:00	6.116948525
10/13/2007	0:00	6.116948525
10/14/2007	0:00	6.116948525
10/15/2007	0:00	6.116948525
10/16/2007	0:00	6.116948525
10/17/2007	0:00	6.116948525
10/18/2007	0:00	6.116948525
10/19/2007	0:00	6.116948525
10/20/2007	0:00	6.116948525
10/21/2007	0:00	6.116948525
10/22/2007	0:00	6.116948525
10/23/2007	0:00	6.116948525
10/24/2007	0:00	6.116948525
10/25/2007	0:00	6.116948525
10/26/2007	0:00	6.116948525
10/27/2007	0:00	6.116948525
10/28/2007	0:00	6.116948525
10/29/2007	0:00	6.116948525
10/30/2007	0:00	6.116948525
10/31/2007	0:00	6.116948525
11/1/2007	0:00	6.116948525
11/2/2007	0:00	6.116948525
11/3/2007	0:00	6.116948525
11/4/2007	0:00	6.116948525
11/5/2007	0:00	6.116948525
11/6/2007	0:00	6.116948525
11/7/2007	0:00	6.116948525
11/8/2007	0:00	6.116948525
11/9/2007	0:00	6.116948525
11/10/2007	0:00	6.116948525
11/11/2007	0:00	6.116948525
11/12/2007	0:00	6.116948525
11/13/2007	0:00	6.116948525
11/14/2007	0:00	6.116948525
11/15/2007	0:00	6.116948525
11/16/2007	0:00	6.116948525
11/17/2007	0:00	6.116948525
11/18/2007	0:00	6.116948525
11/19/2007	0:00	6.116948525
11/20/2007	0:00	6.116948525
11/21/2007	0:00	6.116948525
11/22/2007	0:00	6.116948525
11/23/2007	0:00	6.116948525
11/24/2007	0:00	6.116948525
11/25/2007	0:00	6.116948525
11/26/2007	0:00	6.116948525
11/27/2007	0:00	6.116948525
11/28/2007	0:00	6.116948525
11/29/2007	0:00	6.116948525
11/30/2007	0:00	6.116948525
12/1/2007	0:00	6.116948525
12/2/2007	0:00	6.116948525
12/3/2007	0:00	6.116948525
12/4/2007	0:00	6.116948525
12/5/2007	0:00	6.116948525
12/6/2007	0:00	6.116948525
12/7/2007	0:00	6.116948525
12/8/2007	0:00	6.116948525
12/9/2007	0:00	6.116948525
12/10/2007	0:00	6.116948525
12/11/2007	0:00	6.116948525
12/12/2007	0:00	6.116948525
12/13/2007	0:00	6.116948525
12/14/2007	0:00	6.116948525
12/15/2007	0:00	6.116948525
12/16/2007	0:00	6.116948525
12/17/2007	0:00	6.116948525
12/18/2007	0:00	6.116948525
12/19/2007	0:00	6.116948525
12/20/2007	0:00	6.116948525
12/21/2007	0:00	6.116948525
12/22/2007	0:00	6.116948525
12/23/2007	0:00	6.116948525
12/24/2007	0:00	6.116948525
12/25/2007	0:00	6.116948525
12/26/2007	0:00	6.116948525
12/27/2007	0:00	6.116948525
12/28/2007	0:00	6.116948525
12/29/2007	0:00	6.116948525
12/30/2007	0:00	6.116948525
12/31/2007	0:00	6.116948525
1/1/2008	0:00	6.116948525
1/2/2008	0:00	6.116948525
1/3/2008	0:00	6.116948525
1/4/2008	0:00	6.116948525
1/5/2008	0:00	6.116948525
1/6/2008	0:00	6.116948525
1/7/2008	0:00	6.116948525
1/8/2008	0:00	6.116948525
1/9/2008	0:00	6.116948525
1/10/2008	0:00	6.116948525
1/11/2008	0:00	6.116948525
1/12/2008	0:00	6.116948525
1/13/2008	0:00	6.116948525
1/14/2008	0:00	6.116948525
1/15/2008	0:00	6.116948525
1/16/2008	0:00	6.116948525
1/17/2008	0:00	6.116948525
1/18/2008	0:00	6.116948525
1/19/2008	0:00	6.116948525
1/20/2008	0:00	6.116948525
1/21/2008	0:00	6.116948525
1/22/2008	0:00	6.116948525
1/23/2008	0:00	6.116948525
1/24/2008	0:00	6.116948525
1/25/2008	0:00	6.116948525
1/26/2008	0:00	6.116948525
1/27/2008	0:00	6.116948525
1/28/2008	0:00	6.116948525
1/29/2008	0:00	6.116948525
1/30/2008	0:00	6.116948525
1/31/2008	0:00	6.116948525
2/1/2008	0:00	6.116948525
2/2/2008	0:00	6.116948525
2/3/2008	0:00	6.116948525
2/4/2008	0:00	6.116948525
2/5/2008	0:00	6.116948525
2/6/2008	0:00	6.116948525
2/7/2008	0:00	6.116948525
2/8/2008	0:00	6.116948525
2/9/2008	0:00	6.116948525
2/10/2008	0:00	6.116948525
2/11/2008	0:00	6.116948525
2/12/2008	0:00	6.116948525
2/13/2008	0:00	6.116948525
2/14/2008	0:00	6.116948525
2/15/2008	0:00	6.116948525
2/16/2008	0:00	6.116948525
2/17/2008	0:00	6.116948525
2/18/2008	0:00	6.116948525
2/19/2008	0:00	6.116948525
2/20/2008	0:00	6.116948525
2/21/2008	0:00	6.116948525
2/22/2008	0:00	6.116948525
2/23/2008	0:00	6.116948525
2/24/2008	0:00	6.116948525
2/25/2008	0:00	6.116948525
2/26/2008	0:00	6.116948525
2/27/2008	0:00	6.116948525
2/28/2008	0:00	6.116948525
2/29/2008	0:00	6.116948525
3/1/2008	0:00	6.116948525
3/2/2008	0:00	6.116948525
3/3/2008	0:00	6.116948525
3/4/2008	0:00	6.116948525
3/5/2008	0:00	6.116948525
3/6/2008	0:00	6.116948525
3/7/2008	0:00	6.116948525
3/8/2008	0:00	6.116948525
3/9/2008	0:00	6.116948525
3/10/2008	0:00	6.116948525
3/11/2008	0:00	6.116948525
3/12/2008	0:00	6.116948525
3/13/2008	0:00	6.116948525
3/14/2008	0:00	6.116948525
3/15/2008	0:00	6.116948525
3/16/2008	0:00	6.116948525
3/17/2008	0:00	6.116948525
3/18/2008	0:00	6.116948525
3/19/2008	0:00	6.116948525
3/20/2008	0:00	6.116948525
3/21/2008	0:00	6.116948525
3/22/2008	0:00	6.116948525
3/23/2008	0:00	6.116948525
3/24/2008	0:00	6.116948525
3/25/2008	0:00	6.116948525
3/26/2008	0:00	6.116948525
3/27/2008	0:00	6.116948525
3/28/2008	0:00	6.116948525
3/29/2008	0:00	6.116948525
3/30/2008	0:00	6.116948525
3/31/2008	0:00	6.116948525
4/1/2008	0:00	6.116948525
4/2/2008	0:00	6.116948525
4/3/2008	0:00	6.116948525
4/4/2008	0:00	6.116948525
4/5/2008	0:00	6.116948525
4/6/2008	0:00	6.116948525
4/7/2008	0:00	6.116948525
4/8/2008	0:00	6.116948525
4/9/2008	0:00	6.116948525
4/10/2008	0:00	6.116948525
4/11/2008	0:00	6.116948525
4/12/2008	0:00	6.116948525
4/13/2008	0:00	6.116948525
4/14/2008	0:00	6.116948525
4/15/2008	0:00	6.116948525
4/16/2008	0:00	6.116948525
4/17/2008	0:00	6.116948525
4/18/2008	0:00	6.116948525
4/19/2008	0:00	6.116948525
4/20/2008	0:00	6.116948525
4/21/2008	0:00	6.116948525
4/22/2008	0:00	6.116948525
4/23/2008	0:00	6.116948525
4/24/2008	0:00	6.116948525
4/25/2008	0:00	6.116948525
4/26/2008	0:00	6.116948525
4/27/2008	0:00	6.116948525
4/28/2008	0:00	6.116948525
4/29/2008	0:00	6.116948525
4/30/2008	0:00	6.116948525
5/1/2008	0:00	6.116948525
5/2/2008	0:00	6.116948525
5/3/2008	0:00	6.116948525
5/4/2008	0:00	6.116948525
5/5/2008	0:00	6.116948525
5/6/2008	0:00	6.116948525
5/7/2008	0:00	6.116948525
5/8/2008	0:00	6.116948525
5/9/2008	0:00	6.116948525
5/10/2008	0:00	6.116948525
5/11/2008	0:00	6.116948525
5/12/2008	0:00	6.116948525
5/13/2008	0:00	6.116948525
5/14/2008	0:00	6.116948525
5/15/2008	0:00	6.116948525
5/16/2008	0:00	6.116948525
5/17/2008	0:00	6.116948525
5/18/2008	0:00	6.116948525
5/19/2008	0:00	6.116948525
5/20/2008	0:00	6.116948525
5/21/2008	0:00	6.116948525
5/22/2008	0:00	6.116948525
5/23/2008	0:00	6.116948525
5/24/2008	0:00	6.116948525
5/25/2008	0:00	6.116948525
5/26/2008	0:00	6.116948525
5/27/2008	0:00	6.116948525
5/28/2008	0:00	6.116948525
5/29/2008	0:00	6.116948525
5/30/2008	0:00	6.116948525
5/31/2008	0:00	6.116948525
6/1/2008	0:00	6.116948525
6/2/2008	0:00	6.116948525
6/3/2008	0:00	6.116948525
6/4/2008	0:00	6.116948525
6/5/2008	0:00	6.116948525
6/6/2008	0:00	6.116948525
6/7/2008	0:00	6.116948525
6/8/2008	0:00	6.116948525
6/9/2008	0:00	6.116948525
6/10/2008	0:00	6.116948525
6/11/2008	0:00	6.116948525
6/12/2008	0:00	6.116948525
6/13/2008	0:00	6.116948525
6/14/2008	0:00	6.116948525
6/15/2008	0:00	6.116948525
6/16/2008	0:00	6.116948525
6/17/2008	0:00	6.116948525
6/18/2008	0:00	6.116948525
6/19/2008	0:00	6.116948525
6/20/2008	0:00	6.116948525
6/21/2008	0:00	6.116948525
6/22/2008	0:00	6.116948525
6/23/2008	0:00	6.116948525
6/24/2008	0:00	6.116948525
6/25/2008	0:00	6.116948525
6/26/2008	0:00	6.116948525
6/27/2008	0:00	6.116948525
6/28/2008	0:00	6.116948525
6/29/2008	0:00	6.116948525
6/30/2008	0:00	6.116948525
